RowNo,Address,FLR_balance_dec,FLR_balance_hex
20,"0x51583EAE1e9f77b30226190077bd5c236A3A55E1","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
21,"0x91b689EE73793B247C7F98b9CC7d9bF03ea20b12","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
22,"0xC552c18A9793c39Ff1DB48b425B5757120095897","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
23,"0x7825fF4d745F090bc009CE46ea366eB40439b9B8","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
24,"0xc0e1F5a7290c7ae02197B47eBEc8151fF4BDe724","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
25,"0xD956e1ed4C0C090f6AC7B2450863dE3acF3F8eF2","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
26,"0xd929789Cb189223b7744eC81DB010D10079D4b3F","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
27,"0xa0FE681BdB9fdEAD4609297Cb18a47AB26257B28","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
28,"0xf00cfeC4132EDb8f73b6f9A4e9CdE9930D5EEEDC","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
29,"0xC789e17A7fb06e32A0018a0C2670E3763b121916","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
30,"0xdCA14Af311bd966aa493Cc47FDaB88144eF3c7Fa","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
31,"0x1F655DB637fAeAc5442f1C4854eA03d766f087f5","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
32,"0x7FDBD31918177bf3726268cCB17A6ae2b411b902","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
33,"0x2B01FDC03Ad99B52742Fed5F8D607770C1fe8d4a","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
34,"0x949a27d37EBb454D36E4894243ac987b3A7628b4","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
35,"0xFe8f28231E306FBE363846D2f37363AF372972aB","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
36,"0x7efC34Bd86EA18A795E452D7cCd6f05dae76b49b","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
37,"0x9cA8744DDC3c9d245A68B6c7039eD15086E47791","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
38,"0xa63509E754FF14C1849cB252E8c95cbee57c8e25","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
39,"0x0eBeCf7D66571012E49501CD198C94a250f0876E","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
40,"0x6aBa5C8f8870Ec63A30Ff321F742149a19113fcf","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
41,"0xec73ec40425219a601fAA28c408973A4151a990f","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
42,"0x2a53aFC8b991aBBC445EC46c07E80b1a957C9662","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"

44,"0xC3E98AF398F23C7aC3BDda1Ef6A1FEDAF4f1135B","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
45,"0x0BA52f5166f15Fb95042C33D75e4063188a39c7E","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
46,"0xbCbf18F795D228a7907affcea3b9d70906D9EF47","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
47,"0x954dE0fAe7228Ad71a180FaB83E9B958dbF0fC02","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
48,"0x3eB8c610a9F15760f44CCEf8C17A72b3e86d2cdb","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
49,"0x16413235C65e99335951565347909FD7F23cd342","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
50,"0xE59c44447EE92aAEe6AF9F5dA52767C445D17272","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
51,"0xB770bBB4f818751082976CAA17bEa6A05Ce1Dd4e","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
52,"0x56359EFfDF4c648A3E696bd36a1dBCA6dd2ec54c","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
53,"0x789c29183452a587f1a5268908ad2A7479425C1B","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
54,"0xcb61A3800bFD975Df2Fd0c3D2238F9eA9736e088","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
55,"0xBE32DACDaDDE5AE87Bc41DB388283147CED10706","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
56,"0xdfa74Ee0A47743B544D6450918Fab56143cA50E0","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
57,"0x96bF57a27C56a5C1098E9a1bD77FB9A765286Ae9","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
58,"0x5fF689f0c90925730206Fb085085599c402B415E","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
59,"0xd25b927b94F09D03D53b5Bb80E26f6220654202b","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
60,"0xeaf6a1477f5fcc1D5076B75d4de29d6A83fd48A6","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
61,"0x3C945afe9B975afC773CE092b493A8AAAcbd3320","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
62,"0xa80Da52630406A720C34fB68308487EBf088C478","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
63,"0x236F6959fEBae430b8Caf3c8eDd208A18276d4e5","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
64,"0x95D074024Ca18B432ED55b1149Bf8C9ff4b9eCAA","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
65,"0x6cab54cd753C463Bad34febE341e31CF3e854F5a","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
66,"0xb706eFA1F4f42a7010CCc5C7597D757575d973Db","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
67,"0x049b73e9683F9A52A03666d69a3F7e9378b0DA95","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
68,"0xca67Fa752E2707C4656c3E99a15fE3cf2FB1FFC4","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"

70,"0xf2423b39664A742608543A7DC5fae4a80A3eCb67","1,000,000,000.000 000 000 000 000 000","0x033b2e3c9fd0803ce8000000"
71,"0x3Cca008b4C57a5C2A79Ee8fE11Cf9D67dB0A3f79","1,000,000,000.000 000 000 000 000 000","0x033b2e3c9fd0803ce8000000"
72,"0x2258e7Ad1D8AC70FAB053CF59c027960e94DB7d1","1,000,000,000.000 000 000 000 000 000","0x033b2e3c9fd0803ce8000000"
73,"0x305811ECf33939b795F7b4595e926C8211058572","1,000,000,000.000 000 000 000 000 000","0x033b2e3c9fd0803ce8000000"
74,"0xBA293E5B8caFADe5ccEEa191Cbd3e0E869aA4931","800,000,000.000 000 000 000 000 000","0x0295be96e640669720000000"
75,"0x8165A514054101643a5170e60bcB5d6E79FF34B9","1,000,000,000.000 000 000 000 000 000","0x033b2e3c9fd0803ce8000000"
76,"0x3AA8EefC6f3a42AB2cbA98FEA39397cca297B18b","1,000,000,000.000 000 000 000 000 000","0x033b2e3c9fd0803ce8000000"
77,"0x6c7f7757E8587E4068B8Cb9f713852eF2Ae3abaf","225,000,000.000 000 000 000 000 000","0xba1d9a70c21cda81000000"
78,"0xc506a2E354BC10649907a2086dAE2BEED3E760fE","225,000,000.000 000 000 000 000 000","0xba1d9a70c21cda81000000"
79,"0xff71960A8a2597fbD18F81A79D5171CBf27C5665","350,000,000.000 000 000 000 000 000","0x0121836204bc2ce21e000000"
80,"0xc9F314887750169424bd78770ccfd5AAC87A4b5F","350,000,000.000 000 000 000 000 000","0x0121836204bc2ce21e000000"
81,"0x67f467CdbEe74631F516607BEBD145789B2C2220","350,000,000.000 000 000 000 000 000","0x0121836204bc2ce21e000000"
82,"0x4598A6c05910ab914F0CbAAca1911Cd337d10D29","15,000.000 000 000 000 000 000","0x032d26d12e980b600000"
83,"0x785a3983B5FDEa45e1cc49a41Cd38b5b00687e97","1,000,000.000 000 000 000 000 000","0xd3c21bcecceda1000000"
